50
      ZipCodeStart  ZipCodeEnd  AbsoluteMoneyCost
1       69924000.0  69999999.0              81.51
3       69100000.0  69299999.0              60.41
6       69800000.0  69800000.0              60.41
7       68912000.0  68999999.0              60.41
36      72800000.0  72999999.0              50.85
113     76835000.0  76999999.0              60.41
115     69340000.0  69399999.0              81.51
119     92000000.0  93999999.0              60.41
121     96000000.0  96199999.0              60.41
122     96200000.0  96399999.0              60.41
123     96400000.0  97999999.0              60.41
126     98000000.0  99999999.0              60.41
128     88300000.0  88499999.0              50.85
131     89000000.0  89999999.0              50.85
132     88500000.0  88999999.0              50.85
149     12211000.0  12999999.0              50.85
154     13350000.0  19999999.0              50.85
158     77250000.0  77999999.0              50.85
168     69924000.0  69999999.0              81.51
170     69400000.0  69899999.0              60.41
171     79125000.0  79999999.0              50.85
173     78100000.0  78899999.0              50.85
177     67000000.0  68899999.0              50.85
179     69100000.0  69299999.0              60.41
182     69800000.0  69800000.0              60.41
199     83000000.0  87999999.0              50.85
201     68912000.0  68999999.0              60.41
286     72800000.0  72999999.0              50.85
295     76835000.0  76999999.0              60.41
296     69340000.0  69399999.0              81.51
...            ...         ...                ...
6498    28930000.0  28939999.0             300.21
6499    27998000.0  27999999.0             279.03
6500    28640000.0  28649999.0             268.44
6501    28900001.0  28929999.0             289.62
6502    28430000.0  28454999.0             279.03
6503    27000001.0  27174999.0             300.21
6504    28180000.0  28199999.0             279.03
6505    28680000.0  28699999.0             289.62
6506    27300001.0  27399999.0             300.21
6507    28640000.0  28649999.0             279.03
6508    28430000.0  28454999.0             289.62
6509    26100001.0  26199999.0             167.61
6510    28000001.0  28179999.0             289.62
6511    28660000.0  28679999.0             300.21
6512    28500000.0  28539999.0             289.62
6513    28360000.0  28374999.0             300.21
6514    27998000.0  27999999.0             289.62
6515    28900001.0  28929999.0             300.21
6516    28180000.0  28199999.0             289.62
6517    28680000.0  28699999.0             300.21
6518    28430000.0  28454999.0             300.21
6519    28860000.0  28889999.0             289.62
6520    28000001.0  28179999.0             300.21
6521    28500000.0  28539999.0             300.21
6522    27998000.0  27999999.0             300.21
6523    28640000.0  28649999.0             300.21
6524    28860000.0  28889999.0             300.21
6525    28860000.0  28889999.0             279.03
6526    28640000.0  28649999.0             289.62
6527    28180000.0  28199999.0             300.21

[5223 rows x 3 columns]
